nconst,primaryName,birthYear,deathYear,primaryName_clean
nm0001884,Max von Sydow,1929,2020,max von sydow
nm0001703,Maximilian Schell,1930,2014,maximilian schell
nm0733480,May Robson,1858,1942,may robson
nm0926599,May Whitty,1865,1948,may whitty
nm0748973,Maya Rudolph,1972,,maya rudolph
nm0000212,Meg Ryan,1961,,meg ryan
nm0000672,Meg Tilly,1960,,meg tilly
nm1504121,Megan Fox,1980,,megan fox
nm0000154,Mel Gibson,1956,,mel gibson
nm0000429,Melanie Griffith,1957,,melanie griffith
nm0580479,Melina Mercouri,1920,1994,melina mercouri
nm0227039,Melinda Dillon,1939,,melinda dillon
nm0502425,Melissa Leo,1960,,melissa leo
nm0565250,Melissa McCarthy,1970,,melissa mccarthy
nm0002048,Melvyn Douglas,1901,1981,melvyn douglas
nm0564790,Mercedes McCambridge,1916,2004,mercedes mccambridge
nm0001689,Mercedes Ruehl,1948,,mercedes ruehl
nm0643353,Merle Oberon,1911,1979,merle oberon
nm0341311,Merv Griffin,1925,2007,merv griffin
nm0000658,Meryl Streep,1949,,meryl streep
nm0430107,Michael B. Jordan,1987,,michael b. jordan
nm0000323,Michael Caine,1933,,michael caine
nm0155011,Michael Chekhov,1891,1955,michael chekhov
nm0003817,Michael Clarke Duncan,1957,2012,michael clarke duncan
nm0000140,Michael Douglas,1944,,michael douglas
nm0242692,Michael Dunn,1934,1973,michael dunn
nm1013003,Michael Ealy,1973,,michael ealy
nm1055413,Michael Fassbender,1977,,michael fassbender
nm0000150,Michael J. Fox,1961,,michael j. fox
nm0689488,Michael J. Pollard,1939,2019,michael j. pollard
nm0000474,Michael Keaton,1951,,michael keaton
nm0503627,Michael Lerner,1941,,michael lerner
nm0001574,Michael O'Keefe,1955,,michael o'keefe
nm0671567,Michael Peña,1976,,michael pena
nm0714878,Michael Redgrave,1908,1985,michael redgrave
nm0788218,Michael Shanks,1970,,michael shanks
nm1365985,Michael Shannon,1933,2010,michael shannon
nm0311155,Michael V. Gazzo,1923,1995,michael v. gazzo
nm1157358,Michelle Monaghan,1976,,michelle monaghan
nm0000201,Michelle Pfeiffer,1958,,michelle pfeiffer
nm0735442,Michelle Rodriguez,1978,,michelle rodriguez
nm0931332,Michelle Williams,1979,,michelle williams
nm0000706,Michelle Yeoh,1962,,michelle yeoh
nm0001682,Mickey Rooney,1920,2014,mickey rooney
nm0000620,Mickey Rourke,1952,,mickey rourke
nm0000196,Mike Myers,1963,,mike myers
nm0000864,Mikhail Baryshnikov,1948,,mikhail baryshnikov
nm0005109,Mila Kunis,1983,,mila kunis
nm0242972,Mildred Dunnock,1901,1991,mildred dunnock
nm0622450,Mildred Natwick,1905,1994,mildred natwick
nm1415323,Miley Cyrus,1992,,miley cyrus
nm0466295,Miliza Korjus,1909,1980,miliza korjus
nm0000170,Milla Jovovich,1975,,milla jovovich
nm1411676,Mindy Kaling,1979,,mindy kaling
nm0000378,Minnie Driver,1970,,minnie driver
nm0000227,Mira Sorvino,1967,,mira sorvino
nm0001669,Miranda Richardson,1958,,miranda richardson
nm0394244,Miriam Hopkins,1902,1972,miriam hopkins
nm0041681,Mischa Auer,1905,1967,mischa auer
nm0880855,Miyoshi Umeki,1929,2007,miyoshi umeki
nm0669693,Mizuo Peck,1977,,mizuo peck
nm0594898,Mo'Nique,1967,,mo'nique
nm0000899,Monica Bellucci,1964,,monica bellucci
nm0001050,Montgomery Clift,1920,1966,montgomery clift
nm0941253,Monty Woolley,1888,1963,monty woolley
nm0000151,Morgan Freeman,1937,,morgan freeman
nm0007216,Nancy Carroll,1903,1965,nancy carroll
nm0446715,Nancy Kelly,1921,1995,nancy kelly
nm0647970,Nancy Olson,1928,,nancy olson
nm4305463,Naomi Scott,1993,,naomi scott
nm0915208,Naomi Watts,1968,,naomi watts
nm0365140,Naomie Harris,1976,,naomie harris
nm0000204,Natalie Portman,1981,,natalie portman
nm0000081,Natalie Wood,1938,1981,natalie wood
nm0001447,Nathan Lane,1956,,nathan lane
nm0000885,Ned Beatty,1937,2021,ned beatty
nm0011244,Nick Adams,1931,1968,nick adams
nm2679917,Nick Jonas,1992,,nick jonas
nm0000560,Nick Nolte,1941,,nick nolte
nm0000115,Nicolas Cage,1964,,nicolas cage
nm0000173,Nicole Kidman,1967,,nicole kidman
nm0001329,Nigel Hawthorne,1929,2001,nigel hawthorne
nm0001225,Nina Foch,1924,2008,nina foch
nm0001903,Norma Aleandro,1936,,norma aleandro
nm0790454,Norma Shearer,1902,1983,norma shearer
nm0818055,Octavia Spencer,1970,,octavia spencer
nm1469236,Olivia Colman,1974,,olivia colman
nm0000014,Olivia de Havilland,1916,2020,olivia de havilland
nm0001156,Olympia Dukakis,1931,2021,olympia dukakis
nm0001725,Omar Sharif,1932,2015,omar sharif
nm0001856,Oprah Winfrey,1954,,oprah winfrey
nm0089217,Orlando Bloom,1977,,orlando bloom
nm0000080,Orson Welles,1915,1985,orson welles
nm1209966,Oscar Isaac,1979,,oscar isaac
nm0393028,Oskar Homolka,1898,1978,oskar homolka
nm0921459,Oskar Werner,1922,1984,oskar werner
nm0005562,Owen Wilson,1968,,owen wilson
nm0001552,Pat Morita,1932,2005,pat morita
nm0000099,Patricia Arquette,1968,,patricia arquette
nm0165101,Patricia Clarkson,1959,,patricia clarkson
nm0172048,Patricia Collinge,1892,1974,patricia collinge
nm0005004,Patricia Heaton,1958,,patricia heaton
nm0623658,Patricia Neal,1926,2010,patricia neal
nm0302466,Patrick Gallagher,1968,,patrick gallagher
nm0001772,Patrick Stewart,1940,,patrick stewart
nm0000664,Patrick Swayze,1952,2009,patrick swayze
nm2004100,Patrick Wilson,1969,,patrick wilson
nm0001157,Patty Duke,1946,2016,patty duke
nm0566478,Patty McCormack,1945,,patty mccormack
nm0079273,Paul Bettany,1971,,paul bettany
nm0316079,Paul Giamatti,1967,,paul giamatti
nm0510134,Paul Lukas,1895,1971,paul lukas
nm0612847,Paul Muni,1895,1967,paul muni
nm0000056,Paul Newman,1925,2008,paul newman
nm0705152,Paul Raci,1948,,paul raci
nm0748621,Paul Rudd,1940,2010,paul rudd
nm0006890,Paul Scofield,1922,2008,paul scofield
nm1960231,Paul Walker,1893,,paul walker
nm0934902,Paul Winfield,1939,2004,paul winfield
nm0002104,Paulette Goddard,1910,1990,paulette goddard
nm0172604,Pauline Collins,1940,,pauline collins
nm0001919,Peggy Ashcroft,1907,1991,peggy ashcroft
nm0143918,Peggy Cass,1924,1999,peggy cass
nm0498007,Peggy Lee,1920,2002,peggy lee
nm0939931,Peggy Wood,1892,1978,peggy wood
nm0004851,Penélope Cruz,1974,,penelope cruz
nm0587340,Penelope Milford,1948,,penelope milford
nm0001508,Penny Marshall,1943,2018,penny marshall
nm0000592,Pete Postlethwaite,1946,2011,pete postlethwaite
nm0000393,Peter Falk,1927,2011,peter falk
nm0002075,Peter Finch,1916,1977,peter finch
nm0278752,Peter Firth,1953,,peter firth
nm0001228,Peter Fonda,1940,2019,peter fonda
nm0000564,Peter O'Toole,1932,2013,peter o'toole
nm0000634,Peter Sellers,1925,1980,peter sellers
nm0001780,Peter Stormare,1953,,peter stormare
nm0001811,Peter Ustinov,1921,2004,peter ustinov
nm0000450,Philip Seymour Hoffman,1967,2014,philip seymour hoffman
nm0711118,Phylicia Rashad,1948,,phylicia rashad
nm0000112,Pierce Brosnan,1953,,pierce brosnan
nm0001453,Piper Laurie,1932,,piper laurie
nm2962353,Pom Klementieff,1986,,pom klementieff
nm0001451,Queen Latifah,1970,,queen latifah
nm0191944,Quinn Cummings,1967,,quinn cummings
nm4832920,Quvenzhané Wallis,2003,,quvenzhane wallis
nm0341737,Rachel Griffiths,1968,,rachel griffiths
nm1046097,Rachel McAdams,1978,,rachel mcadams
nm0731499,Rachel Roberts,1927,1980,rachel roberts
nm0001838,Rachel Weisz,1970,,rachel weisz
nm0000897,Ralph Bellamy,1904,1991,ralph bellamy
nm0000146,Ralph Fiennes,1962,,ralph fiennes
nm0724732,Ralph Richardson,1902,1983,ralph richardson
nm1785339,Rami Malek,1981,,rami malek
nm0001642,Randy Quaid,1950,,randy quaid
nm0712368,Raven-Symoné,1985,,raven symone
nm0001537,Ray Milland,1907,1986,ray milland
nm0005380,Ray Romano,1957,,ray romano
nm0935653,Ray Winstone,1957,,ray winstone
nm0557339,Raymond Massey,1896,1983,raymond massey
nm0272581,Rebecca Ferguson,1983,,rebecca ferguson
nm2313103,Rebel Wilson,1980,,rebel wilson
nm0000999,Red Buttons,1919,2006,red buttons
nm0000702,Reese Witherspoon,1976,,reese witherspoon
nm0356021,Regina Hall,1970,,regina hall
nm0005093,Regina King,1971,,regina king
nm0000623,Rene Russo,1954,,rene russo
nm0000250,Renée Zellweger,1969,,renee zellweger
nm0001322,Rex Harrison,1908,1990,rex harrison
nm0001932,Richard Barthelmess,1895,1963,richard barthelmess
nm5132603,Richard Burton,1821,1890,richard burton
nm0228715,Richard Dix,1893,1949,richard dix
nm0000377,Richard Dreyfuss,1947,,richard dreyfuss
nm0001290,Richard E. Grant,1957,,richard e. grant
nm0002070,Richard Farnsworth,1920,2000,richard farnsworth
nm0000152,Richard Gere,1949,,richard gere
nm0001321,Richard Harris,1930,2002,richard harris
nm0001395,Richard Jaeckel,1926,1997,richard jaeckel
nm0420955,Richard Jenkins,1947,,richard jenkins
nm0144710,Richard S. Castellano,1933,1988,richard s. castellano
nm0865262,Richard Todd,1919,2009,richard todd
nm0001847,Richard Widmark,1914,2008,richard widmark
nm0001548,Rick Moranis,1953,,rick moranis
nm0452860,Rinko Kikuchi,1981,,rinko kikuchi
nm0001800,Rip Torn,1931,2019,rip torn
nm0001549,Rita Moreno,1931,,rita moreno
nm0000203,River Phoenix,1970,1993,river phoenix
nm1981893,Riz Ahmed,1982,,riz ahmed
nm0001059,Robbie Coltrane,1950,,robbie coltrane
nm0000134,Robert De Niro,1943,,robert de niro
nm0232196,Robert Donat,1905,1958,robert donat
nm0000375,Robert Downey Jr.,1965,,robert downey jr.
nm0000380,Robert Duvall,1931,,robert duvall
nm0001233,Robert Forster,1941,2019,robert forster
nm0347039,Robert Guillaume,1927,2017,robert guillaume
nm0005162,Robert Loggia,1930,2015,robert loggia
nm0000053,Robert Mitchum,1917,1997,robert mitchum
nm0599910,Robert Montgomery,1904,1981,robert montgomery
nm0605923,Robert Morley,1908,1992,robert morley
nm1500155,Robert Pattinson,1986,,robert pattinson
nm0696481,Robert Preston,1918,1987,robert preston
nm0000602,Robert Redford,1936,,robert redford
nm0752814,Robert Ryan,1896,1958,robert ryan
nm0332058,Robert Shaw,1915,2005,robert shaw
nm0821041,Robert Stack,1919,2003,robert stack
nm0833865,Robert Strauss,1913,1975,robert strauss
nm0891238,Robert Vaughn,1877,,robert vaughn
nm0000905,Roberto Benigni,1952,,roberto benigni
nm0000245,Robin Williams,1951,2014,robin williams
nm0000705,Robin Wright,1966,,robin wright
nm0001369,Rock Hudson,1925,1985,rock hudson
nm0001768,Rod Steiger,1925,2002,rod steiger
nm0950019,Roland Young,1887,1953,roland young
nm0600531,Ron Moody,1924,2015,ron moody
nm0172903,Ronald Colman,1891,1958,ronald colman
nm0086867,Ronee Blakley,1945,,ronee blakley
nm1913734,Rooney Mara,1985,,rooney mara
nm0751426,Rosalind Russell,1907,1976,rosalind russell
nm0683253,Rosamund Pike,1979,,rosamund pike
nm0126284,Rose Byrne,1979,,rose byrne
nm0001683,Roseanne Barr,1952,,roseanne barr
nm2185412,Rosemary Harris,1923,2019,rosemary harris
nm0005280,Rosie O'Donnell,1962,,rosie o'donnell
nm0001609,Rosie Perez,1964,,rosie perez
nm0000100,Rowan Atkinson,1955,,rowan atkinson
nm0001702,Roy Scheider,1932,2008,roy scheider
nm0002039,Ruby Dee,1922,2014,ruby dee
nm0189313,Rupert Crosse,1927,1973,rupert crosse
nm0342488,Rupert Grint,1988,,rupert grint
nm0848560,Russ Tamblyn,1934,,russ tamblyn
nm0000128,Russell Crowe,1964,,russell crowe
nm0154183,Ruth Chatterton,1892,1961,ruth chatterton
nm0002106,Ruth Gordon,1896,1985,ruth gordon
nm0404046,Ruth Hussey,1911,2005,ruth hussey
nm1550948,Ruth Negga,1982,,ruth negga
nm0331516,Ryan Gosling,1980,,ryan gosling
nm0641939,Ryan O'Neal,1941,,ryan o'neal
nm0005351,Ryan Reynolds,1976,,ryan reynolds
nm0056187,Sacha Baron Cohen,1971,,sacha baron cohen
nm0451307,Saif Ali Khan,1970,,saif ali khan
nm0000543,Sal Mineo,1939,1976,sal mineo
nm0000398,Sally Field,1946,,sally field
nm1020089,Sally Hawkins,1976,,sally hawkins
nm0001419,Sally Kellerman,1937,2022,sally kellerman
nm0000476,Sally Kirkland,1941,,sally kirkland
nm0000161,Salma Hayek,1966,,salma hayek
nm0006795,Salman Khan,1965,,salman khan
nm0000385,Sam Elliott,1944,,sam elliott
nm0415488,Sam Jaffe,1891,1984,sam jaffe
nm0005377,Sam Rockwell,1968,,sam rockwell
nm0001731,Sam Shepard,1943,2017,sam shepard
nm0001832,Sam Waterston,1940,,sam waterston
nm0941777,Sam Worthington,1976,,sam worthington
nm0002058,Samantha Eggar,1939,,samantha eggar
nm0608090,Samantha Morton,1977,,samantha morton
nm0000168,Samuel L. Jackson,1948,,samuel l. jackson
nm0000113,Sandra Bullock,1964,,sandra bullock
nm0006800,Sandy Dennis,1937,1992,sandy dennis
nm1519680,Saoirse Ronan,1994,,saoirse ronan
nm0021329,Sara Allgood,1880,1950,sara allgood
nm0000572,Sarah Jessica Parker,1965,,sarah jessica parker
nm0001264,Sarah Michelle Gellar,1977,,sarah michelle gellar
nm0587234,Sarah Miles,1941,,sarah miles
nm0798971,Sarah Silverman,1970,,sarah silverman
nm1102970,Sarah Vowell,1969,,sarah vowell
nm0018734,Sasha Alexander,1973,,sasha alexander
nm0424060,Scarlett Johansson,1984,,scarlett johansson
nm0005454,Scott Speedman,1975,,scott speedman
nm0000125,Sean Connery,1930,2020,sean connery
nm0000576,Sean Penn,1960,,sean penn
nm0005405,Seann William Scott,1976,,seann william scott
nm1659221,Sebastian Stan,1982,,sebastian stan
nm1411125,Selena Gomez,1992,,selena gomez
nm0370564,Sessue Hayakawa,1886,1973,sessue hayakawa
nm0532235,Seth MacFarlane,1973,,seth macfarlane
nm0736622,Seth Rogen,1982,,seth rogen
nm0001025,Seymour Cassel,1935,2019,seymour cassel
nm8630978,Shahadi Wright Joseph,2005,,shahadi wright joseph
nm10645092,Shahrukh Khan,,,shahrukh khan
nm0940362,Shailene Woodley,1991,,shailene woodley
nm0002436,Shannon Elizabeth,1973,,shannon elizabeth
nm3270383,Sharon Stone,1953,,sharon stone
nm0004434,Shashi Kapoor,1938,2017,shashi kapoor
nm0001859,Shelley Winters,1920,2006,shelley winters
nm0479471,Shia LaBeouf,1986,,shia labeouf
nm0095804,Shirley Booth,1898,1992,shirley booth
nm0429250,Shirley Jones,1934,,shirley jones
nm0004309,Shirley Knight,1936,2020,shirley knight
nm0000511,Shirley MacLaine,1934,,shirley maclaine
nm0013037,Shohreh Aghdashloo,1952,,shohreh aghdashloo
nm0001627,Sidney Poitier,1927,2022,sidney poitier
nm1092227,Sienna Miller,1981,,sienna miller
nm0000244,Sigourney Weaver,1949,,sigourney weaver
nm0670408,Simon Pegg,1970,,simon pegg
nm0797531,Simone Signoret,1921,1985,simone signoret
nm0000651,Sissy Spacek,1949,,sissy spacek
nm1342727,Skandar Keynes,1991,,skandar keynes
nm0005527,Sofía Vergara,1972,,sofia vergara
nm0516800,Sondra Locke,1944,2018,sondra locke
nm0000047,Sophia Loren,1934,,sophia loren
nm0645683,Sophie Okonedo,1968,,sophie okonedo
nm0000075,Spencer Tracy,1900,1967,spencer tracy
nm0001981,Spring Byington,1886,1971,spring byington
nm0391361,Stanley Holloway,1890,1982,stanley holloway
nm0001804,Stanley Tucci,1960,,stanley tucci
nm0001745,Stellan Skarsgård,1951,,stellan skarsgard
nm0001653,Stephen Rea,1946,,stephen rea
nm0000114,Steve Buscemi,1957,,steve buscemi
nm0136797,Steve Carell,1962,,steve carell
nm0000430,Steve Guttenberg,1958,,steve guttenberg
nm0553088,Steve Martin,1915,1991,steve martin
nm0000537,Steve McQueen,1930,1980,steve mcqueen
nm0000219,Steven Seagal,1952,,steven seagal
nm3081796,Steven Yeun,1983,,steven yeun
nm0000330,Stockard Channing,1944,,stockard channing
nm0260020,Stuart Erwin,1903,1967,stuart erwin
nm0926183,Stuart Whitman,1928,2020,stuart whitman
nm0001333,Susan Hayward,1917,1975,susan hayward
nm0463435,Susan Kohner,1936,,susan kohner
nm0005166,Susan Lucci,1946,,susan lucci
nm0676688,Susan Peters,1921,1952,susan peters
nm0000215,Susan Sarandon,1946,,susan sarandon
nm0879073,Susan Tyrrell,1945,2012,susan tyrrell
nm0948772,Susannah York,1939,2011,susannah york
nm0002113,Sydney Greenstreet,1879,1954,sydney greenstreet
nm0000230,Sylvester Stallone,1946,,sylvester stallone
nm0587249,Sylvia Miles,1924,2019,sylvia miles
nm0796662,Sylvia Sidney,1910,1999,sylvia sidney
nm2554352,T.J. Miller,1981,,t.j. miller
nm0001735,Talia Shire,1946,,talia shire
nm0378245,Taraji P. Henson,1970,,taraji p. henson
nm5473782,Taron Egerton,1989,,taron egerton
nm0001575,Tatum O'Neal,1963,,tatum o'neal
nm1210124,Taylor Lautner,1992,,taylor lautner
nm0000495,Téa Leoni,1966,,tea leoni
nm0001699,Telly Savalas,1922,1994,telly savalas
nm0000654,Terence Stamp,1938,,terence stamp
nm0942863,Teresa Wright,1918,2005,teresa wright
nm0000414,Teri Garr,1947,,teri garr
nm0000159,Teri Hatcher,1964,,teri hatcher
nm0001632,Teri Polo,1969,,teri polo
nm0005024,Terrence Howard,1969,,terrence howard
nm0601930,Terry Moore,1929,,terry moore
nm1024953,Terry Notary,1968,,terry notary
nm0002128,Tess Harper,1950,,tess harper
nm1935086,Tessa Thompson,1983,,tessa thompson
nm0728812,Thelma Ritter,1902,1969,thelma ritter
nm0000942,Theodore Bikel,1924,2015,theodore bikel
nm0327089,Thomas Gomez,1905,1971,thomas gomez
nm0002006,Thomas Haden Church,1960,,thomas haden church
nm0593775,Thomas Mitchell,1892,1962,thomas mitchell
nm1840504,Tiffany Haddish,1979,,tiffany haddish
nm0842770,Tilda Swinton,1960,,tilda swinton
nm0000741,Tim Allen,1953,,tim allen
nm0000209,Tim Robbins,1958,,tim robbins
nm0000619,Tim Roth,1961,,tim roth
nm3154303,Timothée Chalamet,1995,,timothee chalamet
nm0000459,Timothy Hutton,1960,,timothy hutton
nm0275486,Tina Fey,1970,,tina fey
nm0001497,Tobey Maguire,1975,,tobey maguire
nm0000297,Tom Berenger,1949,,tom berenger
nm0002018,Tom Conti,1941,,tom conti
nm0183822,Tom Courtenay,1937,,tom courtenay
nm0000129,Tom Cruise,1962,,tom cruise
nm0000158,Tom Hanks,1956,,tom hanks
nm0362767,Tom Hardy,1944,2008,tom hardy
nm1089991,Tom Hiddleston,1981,,tom hiddleston
nm0276169,Tom Holland,1943,,tom holland
nm0001371,Tom Hulce,1953,,tom hulce
nm0569890,Tom McGrath,1940,2009,tom mcgrath
nm0876451,Tom Tully,1908,1982,tom tully
nm0929489,Tom Wilkinson,1948,,tom wilkinson
nm0000169,Tommy Lee Jones,1946,,tommy lee jones
nm0001057,Toni Collette,1972,,toni collette
nm0000348,Tony Curtis,1925,2010,tony curtis
nm0355024,Tony Hale,1970,,tony hale
nm0867694,Topol,1935,,topol
nm0605078,Tracy Morgan,1943,,tracy morgan
nm0002145,Trevor Howard,1913,1988,trevor howard
nm0001839,Tuesday Weld,1943,,tuesday weld
nm0493341,Twiggy,1949,,twiggy
nm1347153,Tyler Perry,1969,,tyler perry
nm0879085,Tyrese Gibson,1978,,tyrese gibson
nm0000235,Uma Thurman,1970,,uma thurman
nm0580916,Una Merkel,1903,1986,una merkel
nm0000174,Val Kilmer,1959,,val kilmer
nm0181305,Valentina Cortese,1923,2019,valentina cortese
nm0674781,Valerie Perrine,1943,,valerie perrine
nm0001336,Van Heflin,1908,1971,van heflin
nm3948952,Vanessa Kirby,1988,,vanessa kirby
nm0000603,Vanessa Redgrave,1937,,vanessa redgrave
nm0267812,Vera Farmiga,1973,,vera farmiga
nm0120658,Victor Buono,1938,1982,victor buono
nm0572142,Victor McLaglen,1886,1959,victor mclaglen
nm0000595,Victoria Principal,1950,,victoria principal
nm0001557,Viggo Mortensen,1958,,viggo mortensen
nm0004874,Vin Diesel,1967,,vin diesel
nm0000681,Vince Vaughn,1970,,vince vaughn
nm0306696,Vincent Gardenia,1920,1992,vincent gardenia
nm0000609,Ving Rhames,1959,,ving rhames
nm0205626,Viola Davis,1965,,viola davis
nm0000515,Virginia Madsen,1961,,virginia madsen
nm0001120,Vittorio De Sica,1901,1974,vittorio de sica
nm0000046,Vivien Leigh,1913,1967,vivien leigh
nm0580357,Vivien Merchant,1929,1982,vivien merchant
nm0000891,Wallace Beery,1885,1949,wallace beery
nm0000974,Walter Brennan,1894,1974,walter brennan
nm0404158,Walter Huston,1883,1950,walter huston
nm0000527,Walter Matthau,1920,2000,walter matthau
nm0682074,Walter Pidgeon,1897,1984,walter pidgeon
nm0062828,Warner Baxter,1889,1951,warner baxter
nm0000886,Warren Beatty,1937,,warren beatty
nm0384908,Wendy Hiller,1912,2003,wendy hiller
nm0000648,Wesley Snipes,1962,,wesley snipes
nm0000155,Whoopi Goldberg,1955,,whoopi goldberg
nm0004715,Will Arnett,1970,,will arnett
nm0002071,Will Ferrell,1967,,will ferrell
nm0000226,Will Smith,1968,,will smith
nm0000353,Willem Dafoe,1955,,willem dafoe
nm0000904,William Bendix,1906,1964,william bendix
nm0218131,William Demarest,1892,1983,william demarest
nm0307326,William Gargan,1905,1979,william gargan
nm0000513,William H. Macy,1950,,william h. macy
nm0382676,William Hickey,1927,1997,william hickey
nm0390279,William Holden,1862,1932,william holden
nm0000458,William Hurt,1950,2022,william hurt
nm0608440,William Moseley,1987,,william moseley
nm0001635,William Powell,1892,1984,william powell
nm0000638,William Shatner,1931,,william shatner
nm0000213,Winona Ryder,1971,,winona ryder
nm0000095,Woody Allen,1935,,woody allen
nm0000437,Woody Harrelson,1961,,woody harrelson
nm8611957,Yalitza Aparicio,1993,,yalitza aparicio
nm0950926,Youn Yuh-jung,1947,,youn yuh jung
nm0000989,Yul Brynner,1920,1985,yul brynner
nm1374980,Zac Efron,1987,,zac efron
nm0302108,Zach Galifianakis,1969,,zach galifianakis
nm0704270,Zachary Quinto,1977,,zachary quinto
nm3918035,Zendaya,1996,,zendaya
nm0757855,Zoe Saldana,1978,,zoe saldana
nm0001248,Zsa Zsa Gabor,1917,2016,zsa zsa gabor
